iter	RMSE
0	4379.484456
1	4138.645157
2	3935.384753
3	3754.587707
4	3589.185228
5	3437.166661
6	3308.148409
7	3196.944852
8	3096.930934
9	3009.791509
10	2933.589978
11	2863.734192
12	2806.149656
13	2752.234258
14	2705.944596
15	2663.778397
16	2625.953377
17	2590.411525
18	2556.469715
19	2527.020028
20	2495.144227
21	2466.472075
22	2443.799856
23	2422.921818
24	2399.154022
25	2380.077771
26	2363.580883
27	2348.008149
28	2333.127606
29	2320.910989
30	2307.537283
31	2293.982733
32	2284.065948
33	2274.479744
34	2262.534205
35	2251.585174
36	2243.32832
37	2236.107132
38	2226.684575
39	2218.658275
40	2208.133418
41	2201.185129
42	2193.81176
43	2188.608695
44	2181.859071
45	2175.936978
46	2165.441998
47	2160.204993
48	2152.337932
49	2147.600637
50	2142.786883
51	2137.394394
52	2133.631218
53	2125.742051
54	2121.992016
55	2114.620262
56	2109.574
57	2105.055449
58	2100.974407
59	2094.202105
60	2090.039008
61	2086.544207
62	2080.397827
63	2077.610244
64	2075.0211
65	2071.803137
66	2067.51269
67	2063.728439
68	2060.321256
69	2055.421637
70	2052.669064
71	2050.127967
72	2046.148922
73	2043.257964
74	2040.360887
75	2037.798454
76	2034.648703
77	2030.177991
78	2027.283301
79	2025.367727
80	2022.960873
81	2020.661057
82	2018.884186
83	2015.657418
84	2013.567348
85	2010.747011
86	2008.922013
87	2006.700466
88	2004.542065
89	2002.161735
90	1999.612593
91	1997.864414
92	1995.209089
93	1990.912906
94	1988.591837
95	1986.210246
96	1984.019172
97	1982.446865
98	1980.76056
99	1978.386924
100	1975.373079
101	1973.237694
102	1970.9073
103	1969.531987
104	1967.942309
105	1966.564663
106	1965.476929
107	1963.653445
108	1961.772202
109	1959.695732
110	1956.424011
111	1954.883783
112	1952.846039
113	1950.821772
114	1949.223158
115	1947.814909
116	1946.351486
117	1945.08263
118	1944.053391
119	1942.850156
120	1940.859949
121	1939.815257
122	1939.285802
123	1937.354506
124	1935.272312
125	1933.882675
126	1933.1128
127	1931.552646
128	1930.11297
129	1928.477326
130	1926.729235
131	1926.006412
132	1924.300702
133	1923.401905
134	1922.684249
135	1921.234254
136	1919.537528
137	1918.197874
138	1917.550448
139	1916.797878
140	1914.595597
141	1913.365574
142	1911.440712
143	1910.290151
144	1909.332683
145	1908.273105
146	1907.07678
147	1906.331005
148	1905.258236
149	1904.197117
150	1903.5845
151	1901.709884
152	1900.740483
153	1900.064445
154	1899.129496
155	1898.412977
156	1897.697959
157	1897.272621
158	1896.242268
159	1895.555172
160	1894.983926
161	1893.883028
162	1892.936651
163	1892.048594
164	1891.243614
165	1890.387655
166	1889.987186
167	1889.203835
168	1888.744352
169	1887.525193
170	1886.663849
171	1886.018546
172	1884.963529
173	1884.358997
174	1883.13677
175	1882.351931
176	1881.039509
177	1880.523489
178	1880.06312
179	1879.60303
180	1878.399969
181	1877.399856
182	1876.630103
183	1875.606036
184	1875.226147
185	1874.742096
186	1873.894157
187	1872.830781
188	1871.846277
189	1871.047159
190	1870.284472
191	1869.632903
192	1868.999254
193	1868.208652
194	1867.434527
195	1867.216358
196	1866.73943
197	1866.322749
198	1865.171358
199	1864.245159
200	1863.434703
201	1862.813958
202	1862.498474
203	1861.732255
204	1861.508293
205	1861.118738
206	1860.348892
207	1859.808414
208	1858.871112
209	1858.438563
210	1856.522594
211	1856.286664
212	1855.966066
213	1855.592601
214	1854.608138
215	1853.544678
216	1852.928503
217	1852.265006
218	1851.646471
219	1850.755881
220	1850.014594
221	1849.4175
222	1848.872661
223	1848.283417
224	1847.786425
225	1846.930105
226	1846.30707
227	1845.88746
228	1845.390978
229	1844.87089
230	1844.176863
231	1843.389891
232	1842.791239
233	1842.373735
234	1841.493824
235	1841.200928
236	1840.491734
237	1839.861657
238	1839.387903
239	1839.229071
240	1838.844317
241	1838.148459
242	1837.690444
243	1836.987632
244	1836.30169
245	1835.607071
246	1835.108183
247	1834.801619
248	1834.348427
249	1834.089608
250	1833.885824
251	1833.564426
252	1833.180073
253	1832.745541
254	1832.260309
255	1832.015411
256	1831.602029
257	1830.957681
258	1830.632928
259	1830.387984
260	1829.861033
261	1829.437541
262	1829.04445
263	1828.503525
264	1828.13069
265	1827.791857
266	1827.73082
267	1827.406983
268	1827.107911
269	1825.794236
270	1825.356627
271	1824.922689
272	1824.593863
273	1824.251568
274	1823.833982
275	1823.137736
276	1822.677681
277	1822.466573
278	1822.041819
279	1821.68578
280	1821.212311
281	1820.515112
282	1820.355601
283	1819.888474
284	1819.66119
285	1819.056672
286	1818.727963
287	1818.284087
288	1817.981087
289	1817.017126
290	1816.462678
291	1816.098835
292	1815.734502
293	1815.455349
294	1815.144195
295	1814.88634
296	1814.653611
297	1814.354794
298	1813.90111
299	1813.479457
300	1813.18071
301	1812.853881
302	1812.276723
303	1812.02105
304	1811.529461
305	1810.459023
306	1809.947987
307	1809.522273
308	1809.310503
309	1808.763013
310	1808.634711
311	1808.381909
312	1808.095779
313	1807.518448
314	1807.289733
315	1806.940789
316	1806.428687
317	1805.970653
318	1805.560325
319	1805.179527
320	1804.852311
321	1804.577799
322	1804.345116
323	1804.113883
324	1803.806468
325	1802.972464
326	1802.629359
327	1802.403044
328	1802.048281
329	1801.786136
330	1801.453393
331	1801.266108
332	1800.7647
333	1800.500483
334	1800.16402
335	1800.051437
336	1799.736287
337	1799.458296
338	1799.00311
339	1798.740496
340	1798.027969
341	1797.765134
342	1797.359567
343	1797.096229
344	1796.792999
345	1796.584478
346	1795.981502
347	1795.690535
348	1795.3825
349	1795.061519
350	1794.821694
351	1794.545631
352	1794.196714
353	1793.727545
354	1793.516167
355	1793.245189
356	1793.041154
357	1792.84598
358	1792.810677
359	1792.401173
360	1792.005716
361	1791.71286
362	1791.199214
363	1790.949139
364	1790.66291
365	1790.427646
366	1790.164583
367	1789.944915
368	1789.656742
369	1789.457468
370	1789.258615
371	1788.970585
372	1788.675352
373	1788.386269
374	1788.062593
375	1787.630057
376	1787.395265
377	1787.036574
378	1786.897474
379	1786.683986
380	1786.492742
381	1786.299292
382	1785.908508
383	1785.696433
384	1785.482092
385	1785.282498
386	1784.894151
387	1784.642508
388	1784.389742
389	1784.174301
390	1783.721233
391	1783.285992
392	1783.101152
393	1782.633323
394	1782.381801
395	1782.117998
396	1781.88187
397	1781.513495
398	1781.372259
399	1781.111065
400	1780.81161
401	1780.464559
402	1780.140843
