iter	Passed	Remaining
0	6	6289
1	11	5964
2	17	5843
3	23	5827
4	28	5709
5	34	5691
6	39	5607
7	44	5551
8	50	5558
9	55	5513
10	61	5490
11	66	5494
12	72	5474
13	76	5417
14	82	5405
15	88	5440
16	93	5423
17	99	5424
18	106	5492
19	113	5582
20	120	5603
21	127	5676
22	133	5691
23	143	5851
24	154	6023
25	162	6089
26	177	6382
27	185	6424
28	192	6433
29	198	6432
30	205	6420
31	211	6400
32	219	6437
33	224	6389
34	233	6436
35	240	6440
36	246	6428
37	254	6436
38	262	6469
39	272	6537
40	277	6500
41	286	6533
42	291	6490
43	298	6484
44	305	6475
45	313	6509
46	321	6525
47	327	6488
48	334	6497
49	339	6458
50	346	6449
51	353	6449
52	359	6418
53	367	6444
54	373	6414
55	379	6404
56	386	6390
57	392	6374
58	401	6396
59	408	6393
60	415	6397
61	422	6386
62	431	6424
63	440	6438
64	447	6438
65	456	6455
66	462	6447
67	472	6476
68	478	6455
69	485	6448
70	491	6435
71	499	6439
72	507	6446
73	515	6448
74	524	6466
75	532	6472
76	539	6466
77	551	6515
78	561	6545
79	568	6541
80	573	6512
81	581	6508
82	587	6488
83	593	6468
84	601	6470
85	605	6439
86	612	6425
87	619	6419
88	624	6391
89	633	6401
90	638	6379
91	646	6376
92	652	6359
93	657	6338
94	664	6332
95	670	6309
96	675	6289
97	682	6277
98	687	6255
99	693	6242
100	700	6234
101	706	6217
102	713	6211
103	718	6192
104	725	6182
105	732	6176
106	738	6159
107	744	6149
108	751	6139
109	756	6118
110	763	6115
111	769	6099
112	775	6088
113	782	6078
114	787	6057
115	793	6044
116	799	6033
117	804	6013
118	810	5996
119	816	5989
120	821	5969
121	827	5957
122	833	5939
123	838	5921
124	844	5909
125	849	5890
126	853	5868
127	860	5859
128	866	5847
129	871	5830
130	876	5814
131	880	5792
132	885	5775
133	892	5765
134	898	5753
135	903	5738
136	908	5722
137	913	5706
138	918	5686
139	923	5673
140	929	5661
141	934	5644
142	940	5638
143	947	5630
144	951	5612
145	957	5601
146	963	5589
147	968	5575
148	974	5564
149	980	5555
150	985	5541
151	992	5534
152	998	5527
153	1003	5514
154	1009	5504
155	1015	5495
156	1020	5481
157	1026	5469
158	1031	5457
159	1036	5442
160	1041	5429
161	1047	5417
162	1052	5403
163	1058	5394
164	1063	5381
165	1068	5367
166	1073	5355
167	1078	5341
168	1083	5326
169	1089	5319
170	1094	5305
171	1099	5291
172	1104	5281
173	1109	5268
174	1114	5254
175	1119	5243
176	1125	5233
177	1130	5221
178	1135	5208
179	1140	5197
180	1146	5185
181	1151	5176
182	1158	5172
183	1164	5164
184	1169	5151
185	1174	5140
186	1179	5128
187	1185	5118
188	1190	5109
189	1195	5098
190	1200	5085
191	1206	5078
192	1212	5069
193	1217	5059
194	1223	5050
195	1228	5038
196	1233	5026
197	1239	5019
198	1245	5012
199	1250	5002
200	1256	4996
201	1261	4985
202	1266	4972
203	1273	4969
204	1279	4960
205	1284	4952
206	1290	4943
207	1296	4936
208	1301	4926
209	1307	4918
210	1312	4908
211	1318	4900
212	1324	4893
213	1329	4883
214	1334	4872
215	1340	4866
216	1345	4855
217	1350	4844
218	1357	4839
219	1362	4832
220	1367	4820
221	1373	4811
222	1377	4800
223	1383	4793
224	1389	4785
225	1394	4776
226	1399	4766
227	1405	4757
228	1410	4749
229	1415	4739
230	1421	4732
231	1426	4722
232	1431	4711
233	1436	4703
234	1442	4695
235	1447	4686
236	1453	4678
237	1458	4668
238	1462	4657
239	1467	4646
240	1473	4639
241	1478	4631
242	1483	4622
243	1489	4615
244	1494	4605
245	1499	4595
246	1505	4588
247	1510	4579
248	1517	4575
249	1522	4566
250	1526	4556
251	1531	4545
252	1537	4540
253	1543	4532
254	1548	4522
255	1553	4515
256	1558	4505
257	1563	4496
258	1568	4488
259	1573	4478
260	1578	4470
261	1584	4464
262	1591	4459
263	1597	4452
264	1602	4445
265	1608	4438
266	1613	4428
267	1618	4421
268	1623	4412
269	1629	4404
270	1634	4397
271	1640	4390
272	1645	4382
273	1650	4374
274	1655	4365
275	1661	4358
276	1667	4353
277	1672	4344
278	1677	4335
279	1683	4328
280	1688	4320
281	1693	4312
282	1698	4303
283	1704	4296
284	1708	4287
285	1714	4280
286	1720	4273
287	1725	4266
288	1731	4258
289	1737	4252
290	1742	4245
291	1748	4238
292	1753	4232
293	1759	4225
294	1764	4216
295	1769	4209
296	1774	4201
297	1780	4193
298	1786	4187
299	1791	4180
300	1796	4173
301	1802	4166
302	1808	4161
303	1813	4152
304	1819	4145
305	1824	4137
306	1829	4128
307	1834	4121
308	1839	4112
309	1843	4103
310	1848	4095
311	1854	4088
312	1859	4080
313	1864	4073
314	1869	4064
315	1874	4057
316	1880	4050
317	1885	4044
318	1891	4038
319	1897	4031
320	1902	4023
321	1907	4016
322	1912	4009
323	1918	4001
324	1923	3994
325	1928	3987
326	1934	3981
327	1939	3974
328	1945	3967
329	1951	3961
330	1957	3955
331	1962	3947
332	1968	3942
333	1973	3935
334	1978	3928
335	1984	3921
336	1990	3916
337	1995	3909
338	2001	3902
339	2006	3894
340	2011	3888
341	2017	3881
342	2023	3875
343	2029	3869
344	2035	3865
345	2040	3857
346	2048	3854
347	2054	3848
348	2059	3841
349	2066	3837
350	2072	3831
351	2077	3824
352	2084	3819
353	2089	3813
354	2095	3806
355	2100	3800
356	2106	3793
357	2111	3786
358	2116	3778
359	2121	3771
360	2126	3763
361	2132	3758
362	2137	3750
363	2141	3742
364	2148	3738
365	2154	3731
366	2160	3727
367	2166	3720
368	2171	3713
369	2176	3705
370	2182	3699
371	2187	3693
372	2193	3687
373	2199	3681
374	2204	3674
375	2209	3666
376	2215	3661
377	2221	3655
378	2226	3648
379	2231	3640
380	2236	3633
381	2241	3626
382	2250	3625
383	2256	3619
384	2262	3614
385	2268	3608
386	2274	3602
387	2280	3596
388	2286	3591
389	2291	3584
390	2298	3580
391	2304	3573
392	2309	3567
393	2317	3564
394	2322	3557
395	2329	3552
396	2335	3547
397	2340	3540
398	2346	3535
399	2352	3528
400	2358	3522
401	2364	3516
402	2369	3510
403	2374	3503
404	2379	3496
405	2385	3489
406	2390	3482
407	2396	3476
408	2401	3470
409	2406	3463
410	2412	3456
411	2417	3449
412	2421	3442
413	2427	3435
414	2432	3429
415	2437	3422
416	2442	3414
417	2447	3408
418	2453	3401
419	2458	3394
420	2464	3389
421	2469	3382
422	2477	3379
423	2484	3375
424	2489	3368
425	2495	3362
426	2500	3355
427	2506	3349
428	2512	3343
429	2517	3336
430	2522	3330
431	2528	3324
432	2533	3317
433	2538	3310
434	2545	3305
435	2551	3300
436	2557	3294
437	2563	3289
438	2570	3284
439	2576	3279
440	2581	3272
441	2587	3266
442	2593	3260
443	2599	3254
444	2604	3247
445	2609	3241
446	2614	3234
447	2619	3227
448	2624	3221
449	2631	3216
450	2636	3209
451	2640	3201
452	2645	3194
453	2650	3187
454	2655	3181
455	2661	3174
456	2666	3168
457	2671	3161
458	2678	3156
459	2683	3149
460	2688	3143
461	2694	3138
462	2700	3132
463	2705	3125
464	2712	3121
465	2718	3115
466	2724	3110
467	2730	3103
468	2735	3097
469	2741	3091
470	2746	3084
471	2751	3078
472	2757	3072
473	2762	3065
474	2768	3060
475	2774	3054
476	2779	3047
477	2784	3040
478	2789	3033
479	2795	3027
480	2801	3022
481	2805	3015
482	2811	3009
483	2816	3003
484	2821	2996
485	2827	2990
486	2833	2984
487	2838	2978
488	2844	2972
489	2849	2966
490	2854	2959
491	2860	2953
492	2866	2947
493	2872	2941
494	2877	2935
495	2882	2928
496	2887	2922
497	2893	2917
498	2899	2910
499	2904	2904
500	2910	2898
501	2915	2892
502	2920	2886
503	2926	2880
504	2931	2873
505	2936	2866
506	2942	2861
507	2947	2854
508	2953	2848
509	2958	2842
510	2964	2836
511	2969	2830
512	2975	2825
513	2980	2818
514	2986	2812
515	2993	2807
516	2998	2801
517	3004	2795
518	3010	2790
519	3016	2784
520	3023	2779
521	3029	2774
522	3034	2767
523	3040	2762
524	3046	2756
525	3051	2749
526	3057	2743
527	3062	2737
528	3067	2731
529	3074	2726
530	3079	2720
531	3084	2713
532	3091	2708
533	3097	2702
534	3102	2696
535	3108	2690
536	3113	2684
537	3118	2677
538	3124	2672
539	3129	2666
540	3134	2659
541	3143	2656
542	3148	2650
543	3154	2644
544	3160	2638
545	3164	2631
546	3170	2625
547	3175	2618
548	3180	2612
549	3185	2606
550	3190	2599
551	3196	2594
552	3201	2587
553	3206	2581
554	3212	2575
555	3217	2569
556	3222	2562
557	3227	2556
558	3231	2549
559	3238	2544
560	3244	2539
561	3251	2533
562	3257	2528
563	3263	2522
564	3269	2516
565	3275	2511
566	3281	2505
567	3287	2500
568	3292	2494
569	3299	2488
570	3305	2483
571	3311	2477
572	3317	2471
573	3324	2466
574	3330	2461
575	3336	2456
576	3342	2450
577	3348	2444
578	3354	2439
579	3360	2433
580	3366	2427
581	3372	2422
582	3378	2416
583	3384	2410
584	3390	2404
585	3395	2399
586	3402	2394
587	3409	2388
588	3415	2383
589	3421	2377
590	3427	2371
591	3432	2365
592	3439	2360
593	3446	2355
594	3452	2349
595	3458	2344
596	3464	2338
597	3472	2334
598	3480	2329
599	3487	2325
600	3495	2320
601	3503	2316
602	3510	2311
603	3516	2305
604	3524	2301
605	3530	2295
606	3537	2290
607	3543	2284
608	3553	2281
609	3560	2276
610	3568	2271
611	3577	2267
612	3584	2263
613	3591	2257
614	3598	2252
615	3606	2248
616	3612	2242
617	3620	2237
618	3626	2232
619	3633	2227
620	3640	2221
621	3647	2216
622	3655	2212
623	3663	2207
624	3671	2203
625	3681	2199
626	3687	2193
627	3697	2190
628	3706	2186
629	3715	2182
630	3724	2177
631	3736	2175
632	3744	2171
633	3759	2170
634	3768	2166
635	3776	2161
636	3785	2157
637	3793	2152
638	3803	2149
639	3810	2143
640	3818	2138
641	3826	2134
642	3838	2131
643	3849	2128
644	3858	2123
645	3864	2117
646	3872	2113
647	3878	2107
648	3885	2101
649	3892	2095
650	3899	2090
651	3907	2085
652	3913	2079
653	3921	2074
654	3928	2069
655	3937	2064
656	3943	2058
657	3948	2052
658	3955	2046
659	3960	2040
660	3967	2034
661	3973	2028
662	3978	2022
663	3985	2016
664	3993	2011
665	4000	2006
666	4006	2000
667	4012	1994
668	4018	1988
669	4024	1982
670	4032	1977
671	4039	1971
672	4044	1964
673	4049	1958
674	4055	1952
675	4060	1946
676	4066	1939
677	4071	1933
678	4077	1927
679	4083	1921
680	4090	1916
681	4095	1909
682	4101	1903
683	4106	1897
684	4111	1890
685	4118	1884
686	4123	1878
687	4128	1872
688	4135	1866
689	4141	1860
690	4146	1854
691	4152	1848
692	4157	1841
693	4162	1835
694	4168	1829
695	4173	1822
696	4179	1816
697	4185	1811
698	4191	1804
699	4197	1799
700	4204	1793
701	4209	1787
702	4215	1780
703	4221	1775
704	4227	1768
705	4236	1764
706	4247	1760
707	4255	1754
708	4262	1749
709	4269	1743
710	4275	1737
711	4281	1731
712	4287	1725
713	4292	1719
714	4297	1713
715	4303	1707
716	4308	1700
717	4314	1694
718	4320	1688
719	4325	1682
720	4331	1676
721	4337	1670
722	4343	1663
723	4349	1658
724	4354	1651
725	4359	1645
726	4366	1639
727	4372	1633
728	4378	1627
729	4384	1621
730	4390	1615
731	4396	1609
732	4402	1603
733	4408	1597
734	4414	1591
735	4420	1585
736	4425	1579
737	4433	1574
738	4439	1568
739	4446	1562
740	4453	1556
741	4458	1550
742	4465	1544
743	4471	1538
744	4476	1532
745	4481	1526
746	4488	1520
747	4493	1513
748	4499	1508
749	4504	1501
750	4509	1495
